trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type
49,2024-03-30 09:56:00,2024-03-30 10:14:33,6,12,6.87,24.71,1.0,1
50,2024-03-21 15:03:00,2024-03-21 15:11:14,4,17,0.87,5.14,1.0,1
51,2024-03-25 16:27:00,2024-03-25 17:09:04,18,13,2.42,10.55,1.0,1
52,2024-03-01 16:55:00,2024-03-01 17:18:52,13,1,3.32,13.54,2.0,1
53,2024-03-28 19:14:00,2024-03-28 19:19:31,5,10,3.44,13.7,1.0,2
54,2024-03-10 08:16:00,2024-03-10 09:05:58,8,2,1.53,6.68,2.0,1
55,2024-03-06 00:39:00,2024-03-06 00:46:38,17,16,2.15,9.49,4.0,1
56,2024-03-11 14:14:00,2024-03-11 14:37:49,6,18,6.61,18.44,1.0,1
57,2024-03-05 19:41:00,2024-03-05 19:48:00,10,19,2.91,10.73,3.0,1
58,2024-03-27 03:40:00,2024-03-27 03:42:38,11,11,2.55,9.88,1.0,1
59,2024-03-05 08:14:00,2024-03-05 08:19:29,18,19,3.81,13.18,1.0,1
60,2024-03-15 22:28:00,2024-03-15 22:32:29,14,2,0.78,5.13,1.0,1
61,2024-03-19 06:49:00,2024-03-19 07:02:50,16,17,2.75,9.29,2.0,1
62,2024-03-10 10:08:00,2024-03-10 10:25:12,14,2,1.36,7.26,1.0,2
63,2024-03-04 05:01:00,2024-03-04 05:28:29,19,15,3.76,14.54,1.0,1
64,2024-03-27 17:58:00,2024-03-27 18:10:55,17,13,2.57,9.49,1.0,1
65,2024-03-30 13:23:00,2024-03-30 13:59:38,8,17,0.77,5.28,1.0,1
66,2024-03-12 01:13:00,2024-03-12 01:19:57,5,1,0.71,4.81,4.0,1
67,2024-03-19 16:20:00,2024-03-19 16:30:16,9,3,1.57,6.9,1.0,1
68,2024-03-04 00:04:00,2024-03-04 00:24:00,19,2,2.5,9.13,1.0,1
69,2024-03-10 12:23:00,2024-03-10 12:57:33,20,17,2.49,10.26,1.0,1
70,2024-03-02 10:08:00,2024-03-02 10:11:20,1,6,4.68,15.54,1.0,1
71,2024-03-01 00:09:00,2024-03-01 01:01:13,9,17,9.22,24.1,1.0,1
72,2024-03-20 02:54:00,2024-03-20 02:55:00,14,11,1.34,7.05,4.0,2
73,2024-03-14 04:59:00,2024-03-14 05:23:10,5,14,2.29,9.84,2.0,2
74,2024-03-15 17:24:00,2024-03-15 17:33:16,18,8,1.49,6.76,1.0,1
75,2024-03-21 08:07:00,2024-03-21 08:15:26,1,15,0.2,3.55,1.0,1
76,2024-03-13 18:21:00,2024-03-13 18:22:01,15,1,6.85,22.84,1.0,1
77,2024-03-07 13:26:00,2024-03-07 13:52:49,5,10,5.34,15.85,2.0,1
78,2024-03-17 11:10:00,2024-03-17 11:17:38,4,12,0.22,3.59,1.0,2
79,2024-03-12 10:38:00,2024-03-12 11:14:22,8,6,9.3,31.13,4.0,1
80,2024-03-01 13:34:00,2024-03-01 14:00:34,8,11,0.61,4.41,1.0,2
81,2024-03-26 20:19:00,2024-03-26 20:28:01,11,1,6.36,17.66,2.0,1
82,2024-03-26 04:04:00,2024-03-26 04:14:47,15,15,1.87,7.71,1.0,1
83,2024-03-23 03:20:00,2024-03-23 03:43:21,6,2,1.56,7.09,2.0,1
84,2024-03-07 00:26:00,2024-03-07 00:37:25,7,20,7.81,21.29,1.0,1
85,2024-03-16 12:39:00,2024-03-16 13:09:35,17,20,1.47,6.54,1.0,1
86,2024-03-26 16:51:00,2024-03-26 16:58:29,19,19,2.34,9.54,1.0,1
87,2024-03-02 21:17:00,2024-03-02 22:26:03,17,18,0.97,5.58,1.0,1
88,2024-03-18 17:22:00,2024-03-18 17:33:21,14,2,1.97,8.07,1.0,1
89,2024-03-12 09:58:00,2024-03-12 10:19:22,8,15,1.37,-5.0,1.0,1
90,2024-03-28 18:26:00,2024-03-28 18:30:48,11,16,4.43,15.94,2.0,1
91,2024-03-29 13:24:00,2024-03-29 13:36:01,19,16,1.02,5.9,2.0,1
92,2024-03-10 14:59:00,2024-03-10 15:36:09,3,12,5.18,16.13,2.0,2
93,2024-03-24 07:32:00,2024-03-24 08:06:38,17,10,0.23,3.71,2.0,1
94,2024-03-02 11:06:00,2024-03-02 11:22:22,13,7,2.99,10.38,1.0,1
95,2024-03-13 06:45:00,2024-03-13 06:49:27,4,9,2.88,11.97,1.0,1
96,2024-03-28 17:52:00,2024-03-28 18:06:12,6,8,0.1,3.23,1.0,1
97,2024-03-07 00:06:00,2024-03-07 00:39:26,11,1,3.23,11.48,1.0,1
98,2024-03-09 00:35:00,2024-03-09 00:47:32,15,5,6.02,19.92,3.0,1
99,2024-03-29 02:43:00,2024-03-29 02:47:45,9,2,2.98,12.4,1.0,1
100,2024-03-11 10:48:00,2024-03-11 10:53:50,18,5,0.42,4.12,1.0,1
101,2024-03-07 16:50:00,2024-03-07 17:13:26,10,17,0.56,4.75,1.0,1
102,2024-03-01 22:21:00,2024-03-01 22:56:25,12,15,4.36,16.86,3.0,1
103,2024-03-18 09:44:00,2024-03-18 10:04:33,7,9,3.12,12.72,1.0,1
104,2024-03-06 13:27:00,2024-03-06 13:59:18,3,12,2.5,10.58,1.0,1
105,2024-03-10 07:29:00,2024-03-10 07:44:56,4,13,5.36,17.85,2.0,1
106,2024-03-20 22:07:00,2024-03-20 22:37:03,13,13,2.28,10.28,1.0,1
107,2024-03-10 15:59:00,2024-03-10 16:33:10,15,10,1.49,7.21,2.0,1
108,2024-03-18 01:34:00,2024-03-18 02:15:51,4,18,1.73,7.41,1.0,1
109,2024-03-29 04:40:00,2024-03-29 05:01:00,5,5,2.18,8.66,1.0,1
110,2024-03-27 02:13:00,2024-03-27 02:39:53,19,13,3.12,10.06,1.0,1
111,2024-03-28 19:22:00,2024-03-28 19:31:45,15,17,1.61,7.11,1.0,1
112,2024-03-13 16:57:00,2024-03-13 16:59:39,3,6,3.05,12.75,2.0,1
113,2024-03-24 09:00:00,2024-03-24 10:02:26,9,3,5.11,18.73,1.0,3
114,2024-03-19 00:11:00,2024-03-19 00:25:12,6,8,2.3,8.7,1.0,1
115,2024-03-04 16:15:00,2024-03-04 16:22:11,8,13,2.65,9.03,2.0,1
116,2024-03-02 15:56:00,2024-03-02 16:12:49,19,16,4.88,17.94,2.0,1
117,2024-03-22 17:30:00,2024-03-22 17:50:13,6,7,4.43,15.77,1.0,2
118,2024-03-07 06:17:00,2024-03-07 06:47:37,18,4,2.48,9.01,0.0,1
119,2024-03-19 11:08:00,2024-03-19 11:15:37,2,13,1.59,7.38,1.0,2
120,2024-03-04 18:45:00,2024-03-04 19:18:26,20,4,2.21,9.52,2.0,1
121,2024-03-11 07:39:00,2024-03-11 07:55:35,15,12,1.47,6.29,2.0,2
122,2024-03-16 02:10:00,2024-03-16 02:12:37,11,2,6.66,20.14,2.0,1
123,2024-03-26 02:04:00,2024-03-26 02:20:03,20,11,5.87,20.85,2.0,1
124,2024-03-31 20:13:00,2024-03-31 20:25:33,5,3,0.93,5.64,1.0,1
125,2024-03-09 22:17:00,2024-03-09 22:29:22,15,12,3.46,12.87,1.0,1
126,2024-03-24 20:55:00,2024-03-24 21:05:38,7,3,1.79,7.75,,2
127,2024-03-27 23:07:00,2024-03-27 23:41:41,4,9,3.82,11.87,1.0,1
128,2024-03-07 09:28:00,2024-03-07 09:48:46,17,8,1.09,5.88,4.0,1
129,2024-03-19 11:09:00,2024-03-19 11:19:20,6,9,0.14,3.4,2.0,1
130,2024-03-23 21:41:00,2024-03-23 21:49:52,20,1,3.67,11.15,1.0,1
131,2024-03-16 13:51:00,2024-03-16 14:21:18,6,7,2.86,10.32,1.0,1
132,2024-03-08 04:41:00,2024-03-08 04:50:17,6,9,4.03,14.44,2.0,2
133,2024-03-19 01:35:00,2024-03-19 01:54:45,7,11,2.33,9.94,1.0,2
134,2024-03-01 14:59:00,2024-03-01 15:35:49,18,12,3.74,11.85,1.0,1
135,2024-03-02 02:00:00,2024-03-02 02:11:34,19,12,3.64,11.68,2.0,1
136,2024-03-28 15:45:00,2024-03-28 15:49:20,15,1,5.99,16.66,1.0,2
137,2024-03-05 20:45:00,2024-03-05 20:58:57,18,17,3.85,14.29,2.0,1
138,2024-03-05 13:23:00,2024-03-05 13:37:03,19,19,1.97,8.89,1.0,1
139,2024-03-15 15:56:00,2024-03-15 16:18:04,16,10,0.82,4.92,2.0,1
140,2024-03-16 21:01:00,2024-03-16 21:02:00,14,7,3.53,11.1,1.0,1
141,2024-03-29 12:49:00,2024-03-29 13:07:20,1,8,1.45,7.43,1.0,1
142,2024-03-23 12:19:00,2024-03-23 12:33:27,10,12,3.78,11.95,1.0,2
143,2024-03-30 08:00:00,2024-03-30 08:04:36,17,17,0.79,5.01,1.0,2
144,2024-03-10 19:35:00,2024-03-10 19:38:23,5,20,2.09,8.16,1.0,1
145,2024-03-11 16:00:00,2024-03-11 16:19:51,10,20,4.48,15.14,1.0,3
146,2024-03-01 20:39:00,2024-03-01 20:53:04,6,20,2.81,10.65,1.0,1
147,2024-03-27 18:05:00,2024-03-27 18:25:08,8,6,1.16,6.68,1.0,2
148,2024-03-27 09:26:00,2024-03-27 09:49:48,12,8,2.6,10.99,1.0,2
149,2024-03-22 06:59:00,2024-03-22 07:51:23,2,18,4.22,15.02,1.0,1
150,2024-03-04 23:04:00,2024-03-04 23:09:15,4,6,2.16,9.16,2.0,1
151,2024-03-26 05:21:00,2024-03-26 05:30:50,15,1,2.1,7.87,1.0,1
152,2024-03-27 02:14:00,2024-03-27 02:51:20,6,11,4.91,16.49,1.0,1
153,2024-03-18 17:37:00,2024-03-18 17:38:18,12,5,5.25,17.07,1.0,1
154,2024-03-09 00:36:00,2024-03-09 00:47:32,11,13,0.14,3.42,2.0,2
155,2024-03-30 03:34:00,2024-03-30 03:43:37,14,4,0.89,5.38,1.0,1
156,2024-03-20 14:11:00,2024-03-20 14:51:44,2,17,2.79,9.38,2.0,3
157,2024-03-25 05:45:00,2024-03-25 06:10:50,17,10,3.97,13.82,2.0,1
158,2024-03-18 02:11:00,2024-03-18 02:17:19,9,9,3.78,11.32,1.0,1
159,2024-03-08 08:57:00,2024-03-08 08:58:02,19,4,3.05,10.49,1.0,1
160,2024-03-26 00:41:00,2024-03-26 00:59:17,12,2,1.66,6.9,1.0,1
161,2024-03-11 09:56:00,2024-03-11 10:16:36,14,13,2.76,10.58,1.0,1
162,2024-03-06 03:41:00,2024-03-06 03:54:21,9,17,4.3,14.35,1.0,1
163,2024-03-31 18:31:00,2024-03-31 18:34:14,8,5,3.34,11.27,,2
164,2024-03-10 20:50:00,2024-03-10 20:59:36,5,12,0.66,4.75,2.0,1
165,2024-03-11 01:24:00,2024-03-11 01:28:48,2,12,7.9,23.99,1.0,1
166,2024-03-07 17:26:00,2024-03-07 17:53:33,16,10,2.87,9.82,1.0,1
167,2024-03-24 04:40:00,2024-03-24 04:48:23,5,20,2.63,9.09,4.0,2
168,2024-03-29 16:43:00,2024-03-29 17:02:54,16,12,1.54,7.6,2.0,2
169,2024-03-14 07:29:00,2024-03-14 07:47:24,9,1,2.11,8.45,1.0,1
170,2024-03-27 10:27:00,2024-03-27 10:37:44,12,15,3.71,13.25,1.0,1
171,2024-03-18 11:29:00,2024-03-18 11:38:38,14,9,3.51,11.23,1.0,1
172,2024-03-17 19:46:00,2024-03-17 20:38:21,1,4,1.05,5.98,2.0,1
173,2024-03-22 21:52:00,2024-03-22 22:28:00,2,8,1.54,6.99,1.0,1
174,2024-03-13 01:07:00,2024-03-13 01:29:02,14,20,2.79,10.33,1.0,1
175,2024-03-25 11:42:00,2024-03-25 12:04:02,19,2,3.95,12.28,1.0,1
176,2024-03-26 10:18:00,2024-03-26 10:22:29,14,19,0.62,4.46,1.0,1
177,2024-03-17 04:11:00,2024-03-17 04:38:45,4,6,0.81,4.95,1.0,1
178,2024-03-11 17:02:00,2024-03-11 17:25:30,7,5,8.01,24.82,1.0,1
179,2024-03-03 13:56:00,2024-03-03 14:01:45,7,5,1.64,7.04,2.0,1
180,2024-03-16 19:00:00,2024-03-16 19:04:57,11,20,3.87,12.96,1.0,1
181,2024-03-21 08:20:00,2024-03-21 08:24:58,20,6,2.58,9.92,1.0,1
182,2024-03-31 03:24:00,2024-03-31 03:45:04,8,11,3.03,10.5,3.0,1
183,2024-03-20 20:42:00,2024-03-20 20:45:24,12,1,2.14,9.59,1.0,1
184,2024-03-30 03:51:00,2024-03-30 04:02:08,14,4,3.07,12.68,2.0,1
185,2024-03-27 10:58:00,2024-03-27 11:03:49,10,6,3.94,14.26,2.0,1
186,2024-03-28 06:39:00,2024-03-28 07:02:13,14,9,6.4,17.85,1.0,1
187,2024-03-15 08:29:00,2024-03-15 08:40:41,16,2,4.35,13.07,1.0,1
188,2024-03-17 15:13:00,2024-03-17 15:22:05,20,12,0.8,5.25,3.0,1
189,2024-03-24 05:33:00,2024-03-24 05:37:51,8,14,5.77,18.82,1.0,2
190,2024-03-12 19:50:00,2024-03-12 20:22:13,15,20,1.33,6.9,1.0,2
191,2024-03-31 23:58:00,2024-04-01 00:02:57,3,19,2.59,10.65,2.0,1
192,2024-03-21 15:25:00,2024-03-21 15:44:09,1,12,4.99,16.29,1.0,2
193,2024-03-12 16:32:00,2024-03-12 16:39:05,14,7,1.58,6.96,2.0,1
194,2024-03-08 20:49:00,2024-03-08 21:22:38,17,14,1.6,7.72,1.0,1
195,2024-03-14 19:13:00,2024-03-14 19:38:54,4,15,5.72,18.28,1.0,1
196,2024-03-30 04:03:00,2024-03-30 04:11:25,10,6,4.31,12.49,1.0,1
197,2024-03-24 12:08:00,2024-03-24 12:11:41,20,4,0.5,4.45,1.0,1
198,2024-03-31 05:43:00,2024-03-31 06:13:19,13,12,4.09,14.03,1.0,2
199,2024-03-27 07:01:00,2024-03-27 07:23:23,1,18,1.77,7.11,2.0,1
200,2024-03-14 07:54:00,2024-03-14 08:17:22,20,16,4.38,-5.0,1.0,1
201,2024-03-24 23:01:00,2024-03-24 23:19:48,13,6,0.71,5.07,1.0,1
202,2024-03-13 16:44:00,2024-03-13 16:54:42,5,4,3.91,13.5,1.0,1
203,2024-03-14 16:35:00,2024-03-14 16:51:11,20,4,2.98,10.23,1.0,1
204,2024-03-01 23:51:00,2024-03-02 00:04:51,16,16,2.27,10.04,1.0,2
205,2024-03-07 19:53:00,2024-03-07 20:03:05,11,4,4.43,12.95,1.0,1
206,2024-03-22 07:22:00,2024-03-22 07:47:17,7,10,2.13,9.73,1.0,2
207,2024-03-26 12:07:00,2024-03-26 12:34:48,17,19,1.18,6.38,1.0,1
208,2024-03-21 04:15:00,2024-03-21 04:22:19,11,9,2.34,10.45,1.0,2
209,2024-03-15 14:08:00,2024-03-15 14:12:12,2,10,3.98,12.31,1.0,1
210,2024-03-22 05:35:00,2024-03-22 06:18:05,3,19,2.16,8.0,1.0,2
211,2024-03-27 06:23:00,2024-03-27 06:50:04,8,15,1.99,8.87,1.0,2
212,2024-03-11 08:59:00,2024-03-11 09:40:55,12,1,3.53,11.1,1.0,1
213,2024-03-13 22:58:00,2024-03-13 23:16:44,12,10,1.4,7.15,4.0,1
214,2024-03-24 02:03:00,2024-03-24 02:10:24,18,10,5.1,15.22,2.0,1
215,2024-03-14 19:49:00,2024-03-14 19:57:41,1,1,5.41,16.4,4.0,1
216,2024-03-24 04:20:00,2024-03-24 04:46:02,9,12,4.02,15.73,2.0,2
217,2024-03-28 17:51:00,2024-03-28 18:05:53,5,3,3.34,11.43,4.0,1
218,2024-03-26 10:32:00,2024-03-26 10:41:53,6,18,4.0,13.14,1.0,1
219,2024-03-12 07:39:00,2024-03-12 07:43:15,16,1,5.59,20.21,1.0,1
220,2024-03-13 13:39:00,2024-03-13 13:57:05,17,5,3.64,12.58,1.0,2
221,2024-03-08 17:01:00,2024-03-08 17:16:26,15,7,2.96,10.47,1.0,1
222,2024-03-27 18:27:00,2024-03-27 18:49:54,6,15,1.8,8.21,1.0,1
223,2024-03-05 10:10:00,2024-03-05 10:19:52,13,15,6.9,19.79,2.0,1
224,2024-03-15 16:05:00,2024-03-15 16:29:15,8,3,8.83,26.49,2.0,1
225,2024-03-05 06:22:00,2024-03-05 06:34:55,16,19,1.16,6.6,1.0,3
226,2024-03-14 10:10:00,2024-03-14 10:35:19,19,15,4.15,15.15,1.0,1
227,2024-03-24 18:28:00,2024-03-24 18:34:42,11,3,2.86,10.64,1.0,1
228,2024-03-19 17:17:00,2024-03-19 17:45:58,17,16,7.99,21.21,1.0,1
229,2024-03-01 12:58:00,2024-03-01 13:05:59,9,4,2.74,9.35,0.0,2
230,2024-03-15 13:21:00,2024-03-15 13:38:18,15,15,5.31,16.38,1.0,1
231,2024-03-19 12:09:00,2024-03-19 12:20:17,7,4,2.0,8.97,1.0,1
232,2024-03-07 02:10:00,2024-03-07 02:30:29,6,18,2.97,11.05,1.0,1
233,2024-03-15 18:19:00,2024-03-15 18:45:27,3,8,3.12,11.26,1.0,1
234,2024-03-13 09:19:00,2024-03-13 09:25:49,11,20,1.51,6.33,1.0,1
235,2024-03-27 00:25:00,2024-03-27 00:26:00,5,17,0.66,4.48,1.0,1
236,2024-03-24 08:23:00,2024-03-24 08:53:35,11,13,2.85,11.19,1.0,2
237,2024-03-31 16:39:00,2024-03-31 16:41:17,13,7,0.0,4.55,1.0,3
238,2024-03-11 23:32:00,2024-03-11 23:48:44,18,5,1.59,7.1,1.0,1
239,2024-03-08 09:31:00,2024-03-08 09:59:25,9,10,2.91,11.58,1.0,1
240,2024-03-07 23:38:00,2024-03-07 23:53:39,6,2,12.15,31.59,1.0,1
241,2024-03-24 00:34:00,2024-03-24 00:39:14,13,15,2.9,10.23,1.0,1
242,2024-03-07 13:08:00,2024-03-07 13:17:18,11,18,4.16,12.43,1.0,1
243,2024-03-26 04:28:00,2024-03-26 04:34:29,12,15,0.98,5.95,2.0,2
244,2024-03-12 15:03:00,2024-03-12 15:15:03,7,4,2.51,9.82,1.0,1
245,2024-03-15 19:12:00,2024-03-15 19:18:21,11,17,1.87,8.31,1.0,1
246,2024-03-07 02:07:00,2024-03-07 02:09:55,13,18,6.25,19.6,1.0,1
247,2024-03-30 09:59:00,2024-03-30 10:14:19,10,19,3.63,11.74,3.0,1
248,2024-03-10 19:38:00,2024-03-10 19:52:32,3,6,0.9,5.31,1.0,1
249,2024-03-05 06:19:00,2024-03-05 06:26:02,4,5,2.87,9.4,4.0,1
250,2024-03-02 15:12:00,2024-03-02 15:16:33,13,19,2.93,10.49,2.0,1
251,2024-03-01 05:40:00,2024-03-01 05:44:35,3,13,1.25,6.18,1.0,1
252,2024-03-19 14:02:00,2024-03-19 14:25:35,19,5,1.53,6.87,2.0,2
253,2024-03-14 03:51:00,2024-03-14 04:05:39,11,13,1.66,8.24,3.0,1
254,2024-03-08 06:45:00,2024-03-08 07:03:52,12,6,1.94,7.79,2.0,1
255,2024-03-27 01:29:00,2024-03-27 01:43:50,1,15,3.56,12.16,1.0,1
256,2024-03-10 00:31:00,2024-03-10 00:43:04,16,9,5.97,19.56,4.0,1
257,2024-03-28 16:12:00,2024-03-28 16:23:24,11,3,4.09,15.79,1.0,1
258,2024-03-16 11:53:00,2024-03-16 12:24:27,3,19,3.81,13.4,2.0,1
259,2024-03-14 08:25:00,2024-03-14 08:34:35,5,13,4.86,17.73,2.0,2
260,2024-03-06 14:28:00,2024-03-06 14:49:06,2,14,3.8,11.76,1.0,1
261,2024-03-06 23:25:00,2024-03-07 00:20:16,6,16,4.64,13.23,1.0,1
262,2024-03-05 00:16:00,2024-03-05 00:55:03,15,2,2.67,9.08,1.0,1
263,2024-03-03 01:11:00,2024-03-03 01:18:34,17,9,1.81,8.03,2.0,1
264,2024-03-25 17:16:00,2024-03-25 17:18:49,10,10,6.0,21.54,1.0,2
265,2024-03-02 02:29:00,2024-03-02 02:46:34,4,13,1.77,8.36,2.0,2
266,2024-03-04 21:05:00,2024-03-04 21:10:22,17,15,2.05,8.99,1.0,1
267,2024-03-17 08:25:00,2024-03-17 08:49:48,6,5,5.09,17.16,1.0,2
268,2024-03-04 15:56:00,2024-03-04 16:13:15,19,17,1.03,6.2,3.0,1
269,2024-03-31 20:52:00,2024-03-31 21:17:18,11,13,2.9,9.79,1.0,1
270,2024-03-17 23:07:00,2024-03-17 23:26:53,5,10,1.33,6.55,1.0,1
271,2024-03-16 06:45:00,2024-03-16 07:00:00,12,9,4.11,12.9,1.0,1
272,2024-03-15 04:56:00,2024-03-15 05:13:42,1,4,0.76,4.95,2.0,1
273,2024-03-30 06:36:00,2024-03-30 06:49:53,12,8,1.87,8.48,,1
274,2024-03-06 22:27:00,2024-03-06 22:56:54,13,5,3.88,11.93,1.0,2
275,2024-03-26 10:09:00,2024-03-26 10:21:36,11,4,0.1,3.28,1.0,1
276,2024-03-11 13:13:00,2024-03-11 13:18:02,10,15,5.69,18.5,4.0,2
277,2024-03-21 21:56:00,2024-03-21 22:25:31,11,4,1.41,6.62,1.0,1
278,2024-03-15 12:56:00,2024-03-15 13:30:57,8,3,3.06,10.35,1.0,2
279,2024-03-02 12:44:00,2024-03-02 12:57:49,9,5,0.51,4.15,4.0,1
280,2024-03-07 08:51:00,2024-03-07 09:13:08,10,10,2.77,9.73,1.0,1
281,2024-03-23 06:42:00,2024-03-23 07:01:06,17,15,1.97,8.67,1.0,2
282,2024-03-23 21:43:00,2024-03-23 22:01:46,20,20,8.14,26.52,3.0,1
283,2024-03-25 08:23:00,2024-03-25 08:26:00,18,14,3.07,9.98,1.0,1
284,2024-03-02 08:12:00,2024-03-02 09:12:24,17,16,0.57,4.77,1.0,3
285,2024-03-30 12:26:00,2024-03-30 13:08:42,12,11,0.98,5.64,1.0,1
286,2024-03-28 17:54:00,2024-03-28 18:03:51,2,17,1.65,8.0,2.0,3
287,2024-03-18 05:40:00,2024-03-18 06:10:48,17,20,2.06,8.02,1.0,1
288,2024-03-16 12:37:00,2024-03-16 12:55:50,11,10,5.49,17.15,1.0,1
289,2024-03-14 00:33:00,2024-03-14 01:10:35,13,10,2.81,10.3,2.0,2
290,2024-03-29 06:15:00,2024-03-29 07:58:18,3,17,0.64,4.47,1.0,1
291,2024-03-15 02:33:00,2024-03-15 03:06:32,18,1,1.62,7.15,1.0,1
292,2024-03-21 21:39:00,2024-03-21 21:54:09,2,13,1.14,5.55,1.0,1
293,2024-03-10 00:36:00,2024-03-10 00:57:28,7,15,7.95,27.18,1.0,2
294,2024-03-28 03:05:00,2024-03-28 03:17:54,8,9,5.06,16.65,1.0,1
295,2024-03-20 23:43:00,2024-03-20 23:54:08,3,15,3.69,14.6,1.0,2
296,2024-03-10 21:50:00,2024-03-10 22:24:25,20,13,1.01,5.37,2.0,1
297,2024-03-26 17:24:00,2024-03-26 17:48:32,15,4,1.42,6.46,1.0,3
298,2024-03-14 12:53:00,2024-03-14 12:58:58,5,16,1.0,5.8,2.0,2
299,2024-03-12 12:29:00,2024-03-12 13:16:28,16,10,0.71,4.96,1.0,2
300,2024-03-26 21:46:00,2024-03-26 21:56:13,16,20,0.44,4.18,1.0,1
301,2024-03-08 17:56:00,2024-03-08 18:12:36,2,8,4.43,17.05,1.0,1
