trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type,flag_bad_time_order,flag_zero_distance,flag_negative_fare,flag_bad_passenger_count,is_flagged,flag_unknown_pu_zone,flag_unknown_do_zone,trip_duration_min,pickup_hour,pickup_date,speed_mph,fare_per_mile,pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,date,precipitation_mm,temp_avg_c,is_rainy_day
19,2024-03-22 13:45:00,2024-03-22 14:00:46,9,9,2.92,11.05,2.0,1,False,False,False,False,False,False,False,15.766666666666667,13,2024-03-22,11.112050739957716,3.784246575342466,Brooklyn,DUMBO,Brooklyn,DUMBO,2024-03-22,0.0,8.6,False
20,2024-03-11 12:31:00,2024-03-11 12:47:17,4,6,2.89,11.82,,1,False,False,False,True,True,False,False,16.283333333333335,12,2024-03-11,10.6489252814739,4.0899653979238755,Manhattan,SoHo,Brooklyn,Williamsburg,2024-03-11,1.8,11.3,True
21,2024-03-02 18:37:00,2024-03-02 18:43:13,4,1,0.99,6.15,1.0,1,False,False,False,False,False,False,False,6.216666666666667,18,2024-03-02,9.554959785522788,6.212121212121213,Manhattan,SoHo,Manhattan,Midtown,2024-03-02,0.7,3.3,False
22,2024-03-15 18:55:00,2024-03-15 19:20:50,19,14,6.24,20.27,1.0,1,False,False,False,False,False,False,False,25.833333333333332,18,2024-03-15,14.492903225806453,3.2483974358974357,Staten Island,St. George,Queens,Jamaica,2024-03-15,2.5,10.9,True
23,2024-03-03 09:16:00,2024-03-03 09:44:15,1,5,2.61,10.41,1.0,1,False,False,False,False,False,False,False,28.25,9,2024-03-03,5.543362831858407,3.988505747126437,Manhattan,Midtown,Manhattan,Upper East Side,2024-03-03,1.4,7.4,True
24,2024-03-07 06:07:00,2024-03-07 06:12:40,9,5,3.79,14.81,1.0,2,False,False,False,False,False,False,False,5.666666666666667,6,2024-03-07,40.12941176470588,3.9076517150395778,Brooklyn,DUMBO,Manhattan,Upper East Side,2024-03-07,0.0,3.3,False
25,2024-03-22 16:16:00,2024-03-22 16:57:05,10,3,1.15,6.08,1.0,1,False,False,False,False,False,False,False,41.083333333333336,16,2024-03-22,1.6795131845841784,5.286956521739131,Brooklyn,Bed-Stuy,Manhattan,Chelsea,2024-03-22,0.0,8.6,False
26,2024-03-26 10:31:00,2024-03-26 10:40:04,8,1,0.93,5.32,1.0,1,False,False,False,False,False,False,False,9.066666666666666,10,2024-03-26,6.154411764705882,5.720430107526882,Brooklyn,Bushwick,Manhattan,Midtown,2024-03-26,1.0,4.1,False
27,2024-03-09 16:53:00,2024-03-09 17:30:37,7,4,5.01,18.36,3.0,2,False,False,False,False,False,False,False,37.61666666666667,16,2024-03-09,7.99113867966327,3.6646706586826348,Brooklyn,Park Slope,Manhattan,SoHo,2024-03-09,4.2,4.7,True
28,2024-03-02 15:28:00,2024-03-02 15:37:01,19,17,1.68,6.73,1.0,1,False,False,False,False,False,False,False,9.016666666666667,15,2024-03-02,11.179297597042513,4.005952380952381,Staten Island,St. George,Bronx,Riverdale,2024-03-02,0.7,3.3,False
29,2024-03-21 15:49:00,2024-03-21 16:02:33,6,13,5.2,19.47,1.0,1,False,False,False,False,False,False,False,13.55,15,2024-03-21,23.02583025830258,3.744230769230769,Brooklyn,Williamsburg,Queens,Long Island City,2024-03-21,0.0,8.6,False
30,2024-03-23 06:53:00,2024-03-23 07:02:48,17,19,6.59,20.9,1.0,1,False,False,False,False,False,False,False,9.8,6,2024-03-23,40.346938775510196,3.1714719271623673,Bronx,Riverdale,Staten Island,St. George,2024-03-23,1.2,5.9,True
31,2024-03-19 00:25:00,2024-03-19 00:51:50,16,8,1.37,6.23,1.0,2,False,False,False,False,False,False,False,26.833333333333332,0,2024-03-19,3.0633540372670813,4.547445255474453,Bronx,Fordham,Brooklyn,Bushwick,2024-03-19,1.1,11.7,True
32,2024-03-03 07:43:00,2024-03-03 08:26:45,19,5,1.35,6.03,1.0,1,False,False,False,False,False,False,False,43.75,7,2024-03-03,1.8514285714285716,4.466666666666667,Staten Island,St. George,Manhattan,Upper East Side,2024-03-03,1.4,7.4,True
33,2024-03-20 09:32:00,2024-03-20 10:22:17,7,4,3.69,11.48,1.0,1,False,False,False,False,False,False,False,50.28333333333333,9,2024-03-20,4.403049386808087,3.111111111111111,Brooklyn,Park Slope,Manhattan,SoHo,2024-03-20,1.4,11.9,True
34,2024-03-26 20:20:00,2024-03-26 20:45:55,1,5,7.29,21.78,1.0,1,False,False,False,False,False,False,False,25.916666666666668,20,2024-03-26,16.87717041800643,2.9876543209876543,Manhattan,Midtown,Manhattan,Upper East Side,2024-03-26,1.0,4.1,False
35,2024-03-20 05:03:00,2024-03-20 05:39:13,18,3,2.27,10.13,1.0,1,False,False,False,False,False,False,False,36.21666666666667,5,2024-03-20,3.7606994937873908,4.462555066079296,Bronx,Mott Haven,Manhattan,Chelsea,2024-03-20,1.4,11.9,True
36,2024-03-03 18:40:00,2024-03-03 18:55:43,13,12,3.7,13.55,1.0,1,False,False,False,False,False,False,False,15.716666666666667,18,2024-03-03,14.125132555673385,3.6621621621621623,Queens,Long Island City,Queens,Flushing,2024-03-03,1.4,7.4,True
37,2024-03-09 10:41:00,2024-03-09 11:13:27,2,19,0.58,4.5,1.0,1,False,False,False,False,False,False,False,32.45,10,2024-03-09,1.0724191063174113,7.758620689655173,Manhattan,Harlem,Staten Island,St. George,2024-03-09,4.2,4.7,True
38,2024-03-03 06:27:00,2024-03-03 06:59:04,4,10,3.92,13.25,4.0,1,False,False,False,False,False,False,False,32.06666666666667,6,2024-03-03,7.334719334719334,3.3801020408163267,Manhattan,SoHo,Brooklyn,Bed-Stuy,2024-03-03,1.4,7.4,True
39,2024-03-25 19:35:00,2024-03-25 19:47:57,5,12,2.62,10.81,1.0,1,False,False,False,False,False,False,False,12.95,19,2024-03-25,12.13899613899614,4.125954198473282,Manhattan,Upper East Side,Queens,Flushing,2024-03-25,0.0,7.3,False
40,2024-03-04 22:04:00,2024-03-04 22:20:24,13,19,1.57,7.23,1.0,1,False,False,False,False,False,False,False,16.4,22,2024-03-04,5.7439024390243905,4.605095541401274,Queens,Long Island City,Staten Island,St. George,2024-03-04,3.4,18.0,True
41,2024-03-12 15:39:00,2024-03-12 15:43:11,15,16,1.9,8.48,1.0,1,False,False,False,False,False,False,False,4.183333333333334,15,2024-03-12,27.250996015936252,4.463157894736843,Queens,Forest Hills,Bronx,Fordham,2024-03-12,0.7,10.8,False
42,2024-03-26 20:59:00,2024-03-26 21:28:35,10,7,5.85,20.48,1.0,3,False,False,False,False,False,False,False,29.583333333333332,20,2024-03-26,11.864788732394366,3.5008547008547013,Brooklyn,Bed-Stuy,Brooklyn,Park Slope,2024-03-26,1.0,4.1,False
43,2024-03-27 00:57:00,2024-03-27 01:23:12,12,17,2.08,7.87,2.0,1,False,False,False,False,False,False,False,26.2,0,2024-03-27,4.763358778625954,3.7836538461538463,Queens,Flushing,Bronx,Riverdale,2024-03-27,2.1,4.2,True
44,2024-03-02 01:42:00,2024-03-02 02:08:24,6,19,1.75,7.11,1.0,1,False,False,False,False,False,False,False,26.4,1,2024-03-02,3.977272727272727,4.062857142857143,Brooklyn,Williamsburg,Staten Island,St. George,2024-03-02,0.7,3.3,False
45,2024-03-30 09:48:00,2024-03-30 09:52:06,19,7,1.44,6.97,1.0,1,False,False,False,False,False,False,False,4.1,9,2024-03-30,21.073170731707318,4.840277777777778,Staten Island,St. George,Brooklyn,Park Slope,2024-03-30,1.9,18.9,True
46,2024-03-15 08:12:00,2024-03-15 08:24:39,1,3,1.49,6.46,1.0,1,False,False,False,False,False,False,False,12.65,8,2024-03-15,7.067193675889327,4.3355704697986575,Manhattan,Midtown,Manhattan,Chelsea,2024-03-15,2.5,10.9,True
47,2024-03-01 08:24:00,2024-03-01 08:38:26,13,15,4.36,16.8,1.0,2,False,False,False,False,False,False,False,14.433333333333334,8,2024-03-01,18.12471131639723,3.853211009174312,Queens,Long Island City,Queens,Forest Hills,2024-03-01,0.0,4.2,False
48,2024-03-20 02:29:00,2024-03-20 02:39:48,17,14,2.33,8.31,1.0,1,False,False,False,False,False,False,False,10.8,2,2024-03-20,12.944444444444443,3.5665236051502145,Bronx,Riverdale,Queens,Jamaica,2024-03-20,1.4,11.9,True
49,2024-03-30 09:56:00,2024-03-30 10:14:33,6,12,6.87,24.71,1.0,1,False,False,False,False,False,False,False,18.55,9,2024-03-30,22.221024258760107,3.596797671033479,Brooklyn,Williamsburg,Queens,Flushing,2024-03-30,1.9,18.9,True
50,2024-03-21 15:03:00,2024-03-21 15:11:14,4,17,0.87,5.14,1.0,1,False,False,False,False,False,False,False,8.233333333333333,15,2024-03-21,6.340080971659919,5.9080459770114935,Manhattan,SoHo,Bronx,Riverdale,2024-03-21,0.0,8.6,False
51,2024-03-25 16:27:00,2024-03-25 17:09:04,18,13,2.42,10.55,1.0,1,False,False,False,False,False,False,False,42.06666666666667,16,2024-03-25,3.4516640253565765,4.359504132231406,Bronx,Mott Haven,Queens,Long Island City,2024-03-25,0.0,7.3,False
52,2024-03-01 16:55:00,2024-03-01 17:18:52,13,1,3.32,13.54,2.0,1,False,False,False,False,False,False,False,23.866666666666667,16,2024-03-01,8.346368715083798,4.078313253012048,Queens,Long Island City,Manhattan,Midtown,2024-03-01,0.0,4.2,False
53,2024-03-28 19:14:00,2024-03-28 19:19:31,5,10,3.44,13.7,1.0,2,False,False,False,False,False,False,False,5.516666666666667,19,2024-03-28,37.41389728096677,3.9825581395348837,Manhattan,Upper East Side,Brooklyn,Bed-Stuy,2024-03-28,1.2,7.8,True
54,2024-03-10 08:16:00,2024-03-10 09:05:58,8,2,1.53,6.68,2.0,1,False,False,False,False,False,False,False,49.96666666666667,8,2024-03-10,1.8372248165443628,4.366013071895424,Brooklyn,Bushwick,Manhattan,Harlem,2024-03-10,0.0,3.9,False
55,2024-03-06 00:39:00,2024-03-06 00:46:38,17,16,2.15,9.49,4.0,1,False,False,False,False,False,False,False,7.633333333333334,0,2024-03-06,16.89956331877729,4.413953488372093,Bronx,Riverdale,Bronx,Fordham,2024-03-06,0.0,9.2,False
56,2024-03-11 14:14:00,2024-03-11 14:37:49,6,18,6.61,18.44,1.0,1,False,False,False,False,False,False,False,23.816666666666666,14,2024-03-11,16.652204338698393,2.789712556732224,Brooklyn,Williamsburg,Bronx,Mott Haven,2024-03-11,1.8,11.3,True
57,2024-03-05 19:41:00,2024-03-05 19:48:00,10,19,2.91,10.73,3.0,1,False,False,False,False,False,False,False,7.0,19,2024-03-05,24.942857142857143,3.6872852233676974,Brooklyn,Bed-Stuy,Staten Island,St. George,2024-03-05,2.7,10.6,True
58,2024-03-27 03:40:00,2024-03-27 03:42:38,11,11,2.55,9.88,1.0,1,False,False,False,False,False,False,False,2.6333333333333333,3,2024-03-27,58.10126582278481,3.874509803921569,Queens,Astoria,Queens,Astoria,2024-03-27,2.1,4.2,True
59,2024-03-05 08:14:00,2024-03-05 08:19:29,18,19,3.81,13.18,1.0,1,False,False,False,False,False,False,False,5.483333333333333,8,2024-03-05,41.68996960486322,3.459317585301837,Bronx,Mott Haven,Staten Island,St. George,2024-03-05,2.7,10.6,True
60,2024-03-15 22:28:00,2024-03-15 22:32:29,14,2,0.78,5.13,1.0,1,False,False,False,False,False,False,False,4.483333333333333,22,2024-03-15,10.438661710037175,6.576923076923077,Queens,Jamaica,Manhattan,Harlem,2024-03-15,2.5,10.9,True
61,2024-03-19 06:49:00,2024-03-19 07:02:50,16,17,2.75,9.29,2.0,1,False,False,False,False,False,False,False,13.833333333333334,6,2024-03-19,11.927710843373493,3.378181818181818,Bronx,Fordham,Bronx,Riverdale,2024-03-19,1.1,11.7,True
62,2024-03-10 10:08:00,2024-03-10 10:25:12,14,2,1.36,7.26,1.0,2,False,False,False,False,False,False,False,17.2,10,2024-03-10,4.744186046511628,5.338235294117647,Queens,Jamaica,Manhattan,Harlem,2024-03-10,0.0,3.9,False
63,2024-03-04 05:01:00,2024-03-04 05:28:29,19,15,3.76,14.54,1.0,1,False,False,False,False,False,False,False,27.483333333333334,5,2024-03-04,8.208611279563371,3.867021276595745,Staten Island,St. George,Queens,Forest Hills,2024-03-04,3.4,18.0,True
64,2024-03-27 17:58:00,2024-03-27 18:10:55,17,13,2.57,9.49,1.0,1,False,False,False,False,False,False,False,12.916666666666666,17,2024-03-27,11.938064516129032,3.692607003891051,Bronx,Riverdale,Queens,Long Island City,2024-03-27,2.1,4.2,True
65,2024-03-30 13:23:00,2024-03-30 13:59:38,8,17,0.77,5.28,1.0,1,False,False,False,False,False,False,False,36.63333333333333,13,2024-03-30,1.2611464968152868,6.857142857142858,Brooklyn,Bushwick,Bronx,Riverdale,2024-03-30,1.9,18.9,True
66,2024-03-12 01:13:00,2024-03-12 01:19:57,5,1,0.71,4.81,4.0,1,False,False,False,False,False,False,False,6.95,1,2024-03-12,6.129496402877698,6.774647887323943,Manhattan,Upper East Side,Manhattan,Midtown,2024-03-12,0.7,10.8,False
67,2024-03-19 16:20:00,2024-03-19 16:30:16,9,3,1.57,6.9,1.0,1,False,False,False,False,False,False,False,10.266666666666667,16,2024-03-19,9.175324675324674,4.3949044585987265,Brooklyn,DUMBO,Manhattan,Chelsea,2024-03-19,1.1,11.7,True
68,2024-03-04 00:04:00,2024-03-04 00:24:00,19,2,2.5,9.13,1.0,1,False,False,False,False,False,False,False,20.0,0,2024-03-04,7.5,3.652,Staten Island,St. George,Manhattan,Harlem,2024-03-04,3.4,18.0,True
69,2024-03-10 12:23:00,2024-03-10 12:57:33,20,17,2.49,10.26,1.0,1,False,False,False,False,False,False,False,34.55,12,2024-03-10,4.324167872648336,4.120481927710843,Staten Island,Tottenville,Bronx,Riverdale,2024-03-10,0.0,3.9,False
70,2024-03-02 10:08:00,2024-03-02 10:11:20,1,6,4.68,15.54,1.0,1,False,False,False,False,False,False,False,3.3333333333333335,10,2024-03-02,84.24,3.3205128205128207,Manhattan,Midtown,Brooklyn,Williamsburg,2024-03-02,0.7,3.3,False
71,2024-03-01 00:09:00,2024-03-01 01:01:13,9,17,9.22,24.1,1.0,1,False,False,False,False,False,False,False,52.21666666666667,0,2024-03-01,10.594318544526013,2.6138828633405637,Brooklyn,DUMBO,Bronx,Riverdale,2024-03-01,0.0,4.2,False
72,2024-03-20 02:54:00,2024-03-20 02:55:00,14,11,1.34,7.05,4.0,2,False,False,False,False,False,False,False,1.0,2,2024-03-20,80.4,5.261194029850746,Queens,Jamaica,Queens,Astoria,2024-03-20,1.4,11.9,True
73,2024-03-14 04:59:00,2024-03-14 05:23:10,5,14,2.29,9.84,2.0,2,False,False,False,False,False,False,False,24.166666666666668,4,2024-03-14,5.68551724137931,4.296943231441048,Manhattan,Upper East Side,Queens,Jamaica,2024-03-14,1.5,5.8,True
74,2024-03-15 17:24:00,2024-03-15 17:33:16,18,8,1.49,6.76,1.0,1,False,False,False,False,False,False,False,9.266666666666667,17,2024-03-15,9.647482014388487,4.5369127516778525,Bronx,Mott Haven,Brooklyn,Bushwick,2024-03-15,2.5,10.9,True
75,2024-03-21 08:07:00,2024-03-21 08:15:26,1,15,0.2,3.55,1.0,1,False,False,False,False,False,False,False,8.433333333333334,8,2024-03-21,1.4229249011857708,17.749999999999996,Manhattan,Midtown,Queens,Forest Hills,2024-03-21,0.0,8.6,False
76,2024-03-13 18:21:00,2024-03-13 18:22:01,15,1,6.85,22.84,1.0,1,False,False,False,False,False,False,False,1.0166666666666666,18,2024-03-13,404.26229508196724,3.334306569343066,Queens,Forest Hills,Manhattan,Midtown,2024-03-13,0.7,7.3,False
77,2024-03-07 13:26:00,2024-03-07 13:52:49,5,10,5.34,15.85,2.0,1,False,False,False,False,False,False,False,26.816666666666666,13,2024-03-07,11.947793660658794,2.9681647940074907,Manhattan,Upper East Side,Brooklyn,Bed-Stuy,2024-03-07,0.0,3.3,False
78,2024-03-17 11:10:00,2024-03-17 11:17:38,4,12,0.22,3.59,1.0,2,False,False,False,False,False,False,False,7.633333333333334,11,2024-03-17,1.7292576419213972,16.318181818181817,Manhattan,SoHo,Queens,Flushing,2024-03-17,1.8,12.0,True
79,2024-03-12 10:38:00,2024-03-12 11:14:22,8,6,9.3,31.13,4.0,1,False,False,False,False,False,False,False,36.36666666666667,10,2024-03-12,15.34372135655362,3.3473118279569887,Brooklyn,Bushwick,Brooklyn,Williamsburg,2024-03-12,0.7,10.8,False
80,2024-03-01 13:34:00,2024-03-01 14:00:34,8,11,0.61,4.41,1.0,2,False,False,False,False,False,False,False,26.566666666666666,13,2024-03-01,1.3776662484316187,7.229508196721312,Brooklyn,Bushwick,Queens,Astoria,2024-03-01,0.0,4.2,False
81,2024-03-26 20:19:00,2024-03-26 20:28:01,11,1,6.36,17.66,2.0,1,False,False,False,False,False,False,False,9.016666666666667,20,2024-03-26,42.32162661737523,2.7767295597484276,Queens,Astoria,Manhattan,Midtown,2024-03-26,1.0,4.1,False
82,2024-03-26 04:04:00,2024-03-26 04:14:47,15,15,1.87,7.71,1.0,1,False,False,False,False,False,False,False,10.783333333333333,4,2024-03-26,10.404945904173108,4.122994652406417,Queens,Forest Hills,Queens,Forest Hills,2024-03-26,1.0,4.1,False
83,2024-03-23 03:20:00,2024-03-23 03:43:21,6,2,1.56,7.09,2.0,1,False,False,False,False,False,False,False,23.35,3,2024-03-23,4.008565310492505,4.544871794871795,Brooklyn,Williamsburg,Manhattan,Harlem,2024-03-23,1.2,5.9,True
84,2024-03-07 00:26:00,2024-03-07 00:37:25,7,20,7.81,21.29,1.0,1,False,False,False,False,False,False,False,11.416666666666666,0,2024-03-07,41.04525547445255,2.725992317541613,Brooklyn,Park Slope,Staten Island,Tottenville,2024-03-07,0.0,3.3,False
85,2024-03-16 12:39:00,2024-03-16 13:09:35,17,20,1.47,6.54,1.0,1,False,False,False,False,False,False,False,30.583333333333332,12,2024-03-16,2.883923705722071,4.448979591836735,Bronx,Riverdale,Staten Island,Tottenville,2024-03-16,0.5,14.7,False
86,2024-03-26 16:51:00,2024-03-26 16:58:29,19,19,2.34,9.54,1.0,1,False,False,False,False,False,False,False,7.483333333333333,16,2024-03-26,18.761692650334076,4.076923076923077,Staten Island,St. George,Staten Island,St. George,2024-03-26,1.0,4.1,False
87,2024-03-02 21:17:00,2024-03-02 22:26:03,17,18,0.97,5.58,1.0,1,False,False,False,False,False,False,False,69.05,21,2024-03-02,0.8428674873280231,5.752577319587629,Bronx,Riverdale,Bronx,Mott Haven,2024-03-02,0.7,3.3,False
88,2024-03-18 17:22:00,2024-03-18 17:33:21,14,2,1.97,8.07,1.0,1,False,False,False,False,False,False,False,11.35,17,2024-03-18,10.41409691629956,4.096446700507615,Queens,Jamaica,Manhattan,Harlem,2024-03-18,1.5,8.4,True
89,2024-03-12 09:58:00,2024-03-12 10:19:22,8,15,1.37,-5.0,1.0,1,False,False,True,False,True,False,False,21.366666666666667,9,2024-03-12,3.8471138845553825,-3.64963503649635,Brooklyn,Bushwick,Queens,Forest Hills,2024-03-12,0.7,10.8,False
90,2024-03-28 18:26:00,2024-03-28 18:30:48,11,16,4.43,15.94,2.0,1,False,False,False,False,False,False,False,4.8,18,2024-03-28,55.37499999999999,3.598194130925508,Queens,Astoria,Bronx,Fordham,2024-03-28,1.2,7.8,True
91,2024-03-29 13:24:00,2024-03-29 13:36:01,19,16,1.02,5.9,2.0,1,False,False,False,False,False,False,False,12.016666666666667,13,2024-03-29,5.092926490984743,5.784313725490196,Staten Island,St. George,Bronx,Fordham,2024-03-29,1.1,4.2,True
92,2024-03-10 14:59:00,2024-03-10 15:36:09,3,12,5.18,16.13,2.0,2,False,False,False,False,False,False,False,37.15,14,2024-03-10,8.36608344549125,3.113899613899614,Manhattan,Chelsea,Queens,Flushing,2024-03-10,0.0,3.9,False
93,2024-03-24 07:32:00,2024-03-24 08:06:38,17,10,0.23,3.71,2.0,1,False,False,False,False,False,False,False,34.63333333333333,7,2024-03-24,0.3984600577478345,16.130434782608695,Bronx,Riverdale,Brooklyn,Bed-Stuy,2024-03-24,1.1,11.3,True
94,2024-03-02 11:06:00,2024-03-02 11:22:22,13,7,2.99,10.38,1.0,1,False,False,False,False,False,False,False,16.366666666666667,11,2024-03-02,10.961303462321792,3.471571906354515,Queens,Long Island City,Brooklyn,Park Slope,2024-03-02,0.7,3.3,False
95,2024-03-13 06:45:00,2024-03-13 06:49:27,4,9,2.88,11.97,1.0,1,False,False,False,False,False,False,False,4.45,6,2024-03-13,38.8314606741573,4.15625,Manhattan,SoHo,Brooklyn,DUMBO,2024-03-13,0.7,7.3,False
96,2024-03-28 17:52:00,2024-03-28 18:06:12,6,8,0.1,3.23,1.0,1,False,False,False,False,False,False,False,14.2,17,2024-03-28,0.4225352112676057,32.3,Brooklyn,Williamsburg,Brooklyn,Bushwick,2024-03-28,1.2,7.8,True
97,2024-03-07 00:06:00,2024-03-07 00:39:26,11,1,3.23,11.48,1.0,1,False,False,False,False,False,False,False,33.43333333333333,0,2024-03-07,5.796610169491526,3.5541795665634677,Queens,Astoria,Manhattan,Midtown,2024-03-07,0.0,3.3,False
98,2024-03-09 00:35:00,2024-03-09 00:47:32,15,5,6.02,19.92,3.0,1,False,False,False,False,False,False,False,12.533333333333333,0,2024-03-09,28.819148936170212,3.3089700996677744,Queens,Forest Hills,Manhattan,Upper East Side,2024-03-09,4.2,4.7,True
99,2024-03-29 02:43:00,2024-03-29 02:47:45,9,2,2.98,12.4,1.0,1,False,False,False,False,False,False,False,4.75,2,2024-03-29,37.642105263157895,4.1610738255033555,Brooklyn,DUMBO,Manhattan,Harlem,2024-03-29,1.1,4.2,True
100,2024-03-11 10:48:00,2024-03-11 10:53:50,18,5,0.42,4.12,1.0,1,False,False,False,False,False,False,False,5.833333333333333,10,2024-03-11,4.319999999999999,9.80952380952381,Bronx,Mott Haven,Manhattan,Upper East Side,2024-03-11,1.8,11.3,True
101,2024-03-07 16:50:00,2024-03-07 17:13:26,10,17,0.56,4.75,1.0,1,False,False,False,False,False,False,False,23.433333333333334,16,2024-03-07,1.4338549075391183,8.482142857142856,Brooklyn,Bed-Stuy,Bronx,Riverdale,2024-03-07,0.0,3.3,False
102,2024-03-01 22:21:00,2024-03-01 22:56:25,12,15,4.36,16.86,3.0,1,False,False,False,False,False,False,False,35.416666666666664,22,2024-03-01,7.386352941176471,3.8669724770642198,Queens,Flushing,Queens,Forest Hills,2024-03-01,0.0,4.2,False
