trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type,flag_bad_time_order,flag_zero_distance,flag_negative_fare,flag_bad_passenger_count,is_flagged,flag_unknown_pu_zone,flag_unknown_do_zone
687,2024-03-03 06:22:00,2024-03-03 06:30:03,14,4,0.0,8.77,4.0,1,False,True,False,False,True,False,False
721,2024-03-17 12:01:00,2024-03-17 12:18:28,5,3,0.0,9.48,4.0,1,False,True,False,False,True,False,False
739,2024-03-25 00:40:00,2024-03-25 01:29:24,1,1,3.5,-5.0,1.0,1,False,False,True,False,True,False,False
761,2024-03-16 23:59:00,2024-03-17 00:23:14,18,20,0.0,9.73,1.0,1,False,True,False,False,True,False,False
804,2024-03-22 16:50:00,2024-03-22 17:11:33,9,9,0.0,4.04,1.0,1,False,True,False,False,True,False,False
819,2024-03-20 18:26:41,2024-03-20 18:11:00,3,20,2.33,10.39,1.0,1,True,False,False,False,True,False,False
863,2024-03-08 03:05:00,2024-03-08 03:06:00,15,3,3.3,-5.0,4.0,1,False,False,True,False,True,False,False
867,2024-03-09 16:04:54,2024-03-09 15:48:00,9,16,1.51,7.06,1.0,1,True,False,False,False,True,False,False
902,2024-03-22 00:31:40,2024-03-22 00:15:00,8,14,6.53,23.8,2.0,2,True,False,False,False,True,False,False
934,2024-03-30 14:07:00,2024-03-30 14:16:49,4,1,0.0,3.98,1.0,1,False,True,False,False,True,False,False
960,2024-03-02 02:47:00,2024-03-02 03:01:21,1,9,1.74,7.96,,1,False,False,False,True,True,False,False
984,2024-03-02 20:56:00,2024-03-02 21:28:04,7,4,0.97,5.14,,1,False,False,False,True,True,False,False
1002,2024-03-01 05:03:00,2024-03-01 05:13:22,9,9,3.18,12.32,0.0,1,False,False,False,True,True,False,False
1011,2024-03-25 20:37:00,2024-03-25 20:55:06,19,16,0.68,-5.0,3.0,1,False,False,True,False,True,False,False
1017,2024-03-08 04:26:00,2024-03-08 04:51:48,14,8,3.82,15.19,,1,False,False,False,True,True,False,False
1079,2024-03-25 21:45:00,2024-03-25 22:03:55,9,7,3.9,13.59,,1,False,False,False,True,True,False,False
1173,2024-03-03 04:30:29,2024-03-03 04:03:00,15,17,1.93,9.11,1.0,2,True,False,False,False,True,False,False
1207,2024-03-22 17:20:00,2024-03-22 17:30:07,7,13,0.0,12.68,2.0,1,False,True,False,False,True,False,False
1217,2024-03-21 10:42:00,2024-03-21 10:54:25,1,12,2.52,9.18,0.0,1,False,False,False,True,True,False,False
1219,2024-03-03 18:10:00,2024-03-03 18:18:19,10,20,0.98,5.77,,2,False,False,False,True,True,False,False
1337,2024-03-13 04:49:50,2024-03-13 04:25:00,8,10,0.34,4.03,1.0,2,True,False,False,False,True,False,False
1393,2024-03-29 03:50:00,2024-03-29 04:14:02,12,20,1.79,-5.0,1.0,3,False,False,True,False,True,False,False
1432,2024-03-15 12:34:00,2024-03-15 12:40:53,9,12,1.98,9.19,0.0,1,False,False,False,True,True,False,False
1460,2024-03-13 17:12:00,2024-03-13 17:28:28,19,3,3.49,10.8,,1,False,False,False,True,True,False,False
1571,2024-03-27 19:07:00,2024-03-27 19:17:56,14,6,1.6,-5.0,1.0,2,False,False,True,False,True,False,False
1675,2024-03-27 00:20:00,2024-03-27 00:38:51,1,6,9.99,34.85,0.0,1,False,False,False,True,True,False,False
1723,2024-03-21 15:29:00,2024-03-21 15:47:53,5,1,3.86,14.68,0.0,1,False,False,False,True,True,False,False
1813,2024-03-25 02:15:50,2024-03-25 02:04:00,10,19,0.1,3.25,4.0,1,True,False,False,False,True,False,False
1854,2024-03-24 20:00:00,2024-03-24 20:16:50,7,17,1.15,5.91,0.0,2,False,False,False,True,True,False,False
1873,2024-03-10 22:58:00,2024-03-10 23:49:30,11,12,4.35,-5.0,4.0,2,False,False,True,False,True,False,False
1906,2024-03-19 17:25:00,2024-03-19 17:29:44,4,2,1.99,8.46,0.0,1,False,False,False,True,True,False,False
1944,2024-03-07 07:20:00,2024-03-07 07:32:11,11,4,1.02,5.82,,3,False,False,False,True,True,False,False
1966,2024-03-13 21:04:00,2024-03-13 21:00:00,2,5,5.64,18.57,3.0,2,True,False,False,False,True,False,False
1972,2024-03-17 07:24:22,2024-03-17 07:02:00,13,12,6.94,21.36,3.0,1,True,False,False,False,True,False,False
2025,2024-03-07 12:48:00,2024-03-07 13:05:30,3,8,8.97,23.35,,1,False,False,False,True,True,False,False
2042,2024-03-26 20:08:00,2024-03-26 20:19:35,19,6,0.0,7.74,1.0,1,False,True,False,False,True,False,False
2085,2024-03-03 05:03:00,2024-03-03 05:20:25,17,10,0.0,4.27,1.0,1,False,True,False,False,True,False,False
2092,2024-03-01 20:23:00,2024-03-01 20:29:23,9,1,1.65,8.1,0.0,2,False,False,False,True,True,False,False
2201,2024-03-15 18:38:00,2024-03-15 18:47:31,19,7,0.57,-5.0,1.0,3,False,False,True,False,True,False,False
2224,2024-03-02 14:12:00,2024-03-02 14:20:19,4,9,3.69,14.39,0.0,1,False,False,False,True,True,False,False
2242,2024-03-04 04:15:00,2024-03-04 04:31:51,13,18,1.73,8.29,0.0,1,False,False,False,True,True,False,False
2249,2024-03-13 15:37:00,2024-03-13 15:43:47,19,19,0.0,8.03,1.0,2,False,True,False,False,True,False,False
2260,2024-03-22 03:01:07,2024-03-22 02:55:00,7,1,2.18,9.27,4.0,1,True,False,False,False,True,False,False
2265,2024-03-03 19:49:00,2024-03-03 20:02:43,20,9,0.0,9.99,1.0,3,False,True,False,False,True,False,False
2268,2024-03-01 03:23:00,2024-03-01 03:41:11,18,7,4.41,16.89,0.0,1,False,False,False,True,True,False,False
2269,2024-03-03 20:10:00,2024-03-03 20:30:12,18,10,0.0,6.01,4.0,1,False,True,False,False,True,False,False
2351,2024-03-29 13:23:00,2024-03-29 13:36:23,7,11,0.43,4.03,,1,False,False,False,True,True,False,False
2353,2024-03-08 21:15:00,2024-03-08 21:37:19,6,10,1.72,-5.0,1.0,1,False,False,True,False,True,False,False
2391,2024-03-04 14:06:00,2024-03-04 14:27:28,3,9,0.0,9.2,2.0,2,False,True,False,False,True,False,False
2421,2024-03-15 04:12:59,2024-03-15 04:04:00,8,19,1.5,7.3,1.0,1,True,False,False,False,True,False,False
2511,2024-03-29 06:49:00,2024-03-29 07:05:13,2,14,5.68,19.13,0.0,2,False,False,False,True,True,False,False
2563,2024-03-31 18:16:47,2024-03-31 18:02:00,19,17,4.97,14.48,1.0,2,True,False,False,False,True,False,False
2580,2024-03-21 21:52:00,2024-03-21 22:08:32,20,6,1.34,5.97,,1,False,False,False,True,True,False,False
2611,2024-03-16 15:46:00,2024-03-16 15:51:27,15,12,2.46,-5.0,1.0,1,False,False,True,False,True,False,False
2681,2024-03-30 04:58:00,2024-03-30 05:16:38,4,20,1.76,8.43,,2,False,False,False,True,True,False,False
2699,2024-03-23 03:59:39,2024-03-23 03:48:00,11,6,5.54,20.31,2.0,1,True,False,False,False,True,False,False
2785,2024-03-28 17:32:00,2024-03-28 17:47:47,14,9,4.07,-5.0,1.0,1,False,False,True,False,True,False,False
2815,2024-03-13 14:35:00,2024-03-13 14:37:25,7,15,1.68,-5.0,1.0,1,False,False,True,False,True,False,False
2839,2024-03-21 05:16:53,2024-03-21 05:07:00,6,10,4.45,14.86,1.0,1,True,False,False,False,True,False,False
2853,2024-03-29 10:07:00,2024-03-29 10:26:04,20,13,2.77,10.33,0.0,1,False,False,False,True,True,False,False
2933,2024-03-08 22:22:00,2024-03-08 22:26:45,8,2,3.62,-5.0,1.0,1,False,False,True,False,True,False,False
2950,2024-03-02 00:11:00,2024-03-02 00:14:05,11,10,2.08,8.0,,1,False,False,False,True,True,False,False
2971,2024-03-29 13:00:44,2024-03-29 12:54:00,2,17,2.58,9.44,1.0,1,True,False,False,False,True,False,False
